,基金号,近1年std,近2年std,近3年std,近1年夏普率,近2年夏普率,近3年夏普率
001104,001104,22.45%,21.07%,19.77%,2.45,2.19,1.38
001313,001313,27.03%,27.61%,28.12%,1.84,1.40,0.49
001743,001743,8.53%,8.33%,6.89%,0.66,1.43,1.24
000502,000502,6.24%,4.76%,4.00%,1.17,1.48,1.52
000152,000152,1.98%,1.59%,1.55%,0.59,1.40,1.47
000017,000017,24.00%,22.08%,22.06%,2.23,1.81,1.09
001256,001256,19.48%,19.13%,19.24%,2.25,1.41,0.86
001606,001606,30.95%,24.29%,24.51%,2.69,2.04,1.06
000914,000914,2.31%,1.76%,1.95%,1.40,2.53,2.10
000294,000294,22.85%,21.37%,21.83%,2.60,2.20,1.42
001485,001485,2.65%,2.46%,2.40%,2.02,2.01,1.69
001190,001190,3.97%,3.50%,3.22%,2.27,2.18,1.75
001893,001893,0.10%,0.11%,0.14%,7.18,9.17,10.31
001939,001939,5.05%,5.11%,4.83%,2.79,1.67,1.28
000105,000105,1.11%,1.49%,1.36%,1.98,2.25,2.45
001714,001714,21.93%,21.37%,21.22%,2.66,2.07,1.45
001344,001344,23.12%,24.16%,--,1.85,1.00,--
001651,001651,19.61%,18.44%,18.66%,2.32,1.56,1.06
000943,000943,2.38%,1.90%,1.80%,0.35,1.33,1.58
001201,001201,4.89%,4.50%,5.07%,3.39,2.35,1.26
000410,000410,20.54%,19.21%,19.01%,2.17,1.26,0.76
001128,001128,22.77%,21.49%,22.33%,1.71,1.37,0.61
001578,001578,2.03%,1.68%,1.56%,0.72,1.90,2.61
000739,000739,24.92%,23.82%,23.26%,2.23,1.40,0.62
001981,001981,0.09%,0.10%,0.15%,5.68,7.77,8.89
000693,000693,0.10%,0.12%,0.15%,6.65,8.85,10.19
000369,000369,21.43%,18.84%,17.18%,0.57,0.34,0.51
000386,000386,4.09%,3.39%,3.47%,1.03,1.16,0.85
001352,001352,7.34%,6.61%,6.38%,2.92,2.34,1.82
000810,000810,11.87%,9.27%,7.89%,1.55,0.90,0.83
001702,001702,29.22%,26.73%,26.55%,2.34,1.88,0.90
000543,000543,0.10%,0.11%,0.14%,8.47,10.21,11.40
000113,000113,1.75%,1.48%,1.45%,0.48,1.31,1.68
000406,000406,5.22%,4.84%,4.89%,1.26,1.17,1.03
000056,000056,19.72%,17.88%,18.03%,1.93,1.73,0.81
001217,001217,20.59%,17.97%,15.23%,2.62,2.61,2.10
000955,000955,20.34%,19.86%,20.84%,2.25,1.52,0.62
001997,001997,20.52%,16.57%,16.09%,3.29,2.42,1.56
001094,001094,0.09%,0.11%,0.15%,6.76,8.53,9.64
001581,001581,22.69%,20.81%,20.96%,2.02,1.53,1.14
000390,000390,25.55%,24.99%,23.15%,1.36,1.29,0.89
001978,001978,25.15%,23.50%,22.66%,1.80,1.38,0.78
000514,000514,--,--,--,--,--,--
000847,000847,0.09%,0.10%,0.14%,6.19,8.28,9.19
001755,001755,5.25%,4.47%,3.81%,2.18,1.59,1.41
001305,001305,25.42%,25.06%,23.54%,1.76,1.09,0.44
000902,000902,0.11%,0.12%,0.17%,5.88,7.85,8.64
001610,001610,15.74%,11.75%,11.33%,1.35,1.04,0.62
001240,001240,0.13%,0.14%,0.17%,3.56,6.04,8.26
000001,000001,18.69%,18.18%,18.25%,1.64,1.16,0.55
001539,001539,21.38%,21.56%,21.16%,0.33,0.47,0.19
000778,000778,18.72%,19.64%,20.09%,2.76,1.95,0.92
000328,000328,24.40%,23.76%,26.12%,2.63,1.76,0.60
000797,000797,0.08%,0.10%,0.14%,11.94,12.35,11.92
001885,001885,19.56%,19.07%,18.75%,1.62,1.70,1.06
001186,001186,23.07%,22.56%,21.54%,2.85,1.85,1.26
001532,001532,23.58%,21.88%,20.73%,2.26,1.86,1.12
001498,001498,13.00%,12.15%,11.99%,2.23,1.78,1.50
001162,001162,24.57%,24.15%,24.42%,1.28,1.07,0.59
000289,000289,1.35%,1.29%,1.81%,1.08,2.15,1.27
000773,000773,0.10%,0.11%,0.14%,6.49,8.61,9.79
001861,001861,23.10%,21.97%,22.22%,2.38,1.72,1.17
000266,000266,1.38%,1.27%,1.12%,1.52,3.08,3.40
001924,001924,25.48%,24.50%,24.28%,1.91,1.38,0.62
001477,001477,0.10%,0.12%,0.16%,4.92,6.86,8.45
001027,001027,23.54%,22.10%,21.80%,1.80,1.52,0.91
001709,001709,28.32%,22.25%,20.66%,1.88,1.31,0.83
001359,001359,17.42%,17.76%,17.57%,2.50,1.74,0.89
000118,000118,6.91%,9.43%,9.22%,2.53,1.69,1.06
000548,000548,0.09%,0.10%,0.15%,6.93,8.64,9.12
000724,000724,0.10%,0.10%,0.15%,5.02,7.44,8.82
001836,001836,3.34%,5.47%,--,3.31,2.06,--
001135,001135,24.68%,22.29%,21.61%,1.84,1.44,0.80
001070,001070,23.92%,22.83%,22.80%,1.92,1.76,0.79
001420,001420,20.39%,20.39%,19.70%,1.48,0.98,0.38
000661,000661,0.00%,0.00%,0.26%,-7.37,-97.03,-2.23
001973,001973,0.09%,0.10%,0.14%,6.99,8.86,9.85
000948,000948,17.87%,17.36%,17.12%,-0.90,-0.09,-0.22
001573,001573,22.37%,24.26%,--,2.50,1.58,--
001123,001123,5.46%,4.81%,4.31%,1.88,1.78,1.42
000698,000698,30.35%,28.83%,28.24%,1.84,1.50,0.82
000362,000362,23.11%,22.95%,22.26%,2.77,1.79,1.14
001820,001820,0.09%,0.09%,0.14%,9.85,11.53,11.15
000227,000227,2.94%,2.67%,2.40%,2.40,2.29,2.27
001965,001965,20.56%,18.73%,19.34%,2.18,1.77,1.00
000677,000677,0.10%,0.12%,0.15%,7.42,9.07,10.55
001066,001066,2.83%,2.72%,3.93%,1.61,1.58,1.25
001748,001748,7.91%,6.97%,--,2.92,2.29,--
001318,001318,9.73%,9.80%,10.13%,2.14,1.03,0.31
